county,year,sex,age_band,population
Embu,2021,m,60,7425.0
Embu,2021,m,65,5412.0
Embu,2021,m,70,3246.0
Embu,2021,m,75,1854.0
Embu,2021,m,80,1164.0
Embu,2021,m,85,654.0
Embu,2021,m,90,362.0
Garissa,2021,f,00,15261.0
Garissa,2021,f,01,59835.0
Garissa,2021,f,05,82482.0
Garissa,2021,f,10,72865.0
Garissa,2021,f,15,59561.0
Garissa,2021,f,20,44824.0
Garissa,2021,f,25,38305.0
Garissa,2021,f,30,28194.0
Garissa,2021,f,35,26170.0
Garissa,2021,f,40,20106.0
Garissa,2021,f,45,11348.0
Garissa,2021,f,50,10960.0
Garissa,2021,f,55,4326.0
Garissa,2021,f,60,5404.0
Garissa,2021,f,65,1822.0
Garissa,2021,f,70,2408.0
Garissa,2021,f,75,959.0
Garissa,2021,f,80,645.0
Garissa,2021,f,85,1075.0
Garissa,2021,f,90,1262.0
Garissa,2021,m,00,16938.0
Garissa,2021,m,01,66360.0
Garissa,2021,m,05,94784.0
Garissa,2021,m,10,92269.0
Garissa,2021,m,15,73489.0
Garissa,2021,m,20,52072.0
Garissa,2021,m,25,33781.0
Garissa,2021,m,30,27660.0
Garissa,2021,m,35,22186.0
Garissa,2021,m,40,22896.0
Garissa,2021,m,45,14127.0
Garissa,2021,m,50,15591.0
Garissa,2021,m,55,6921.0
Garissa,2021,m,60,7726.0
Garissa,2021,m,65,2539.0
Garissa,2021,m,70,3128.0
Garissa,2021,m,75,1213.0
Garissa,2021,m,80,703.0
Garissa,2021,m,85,898.0
Garissa,2021,m,90,772.0
HomaBay,2021,f,00,16608.0
HomaBay,2021,f,01,65115.0
HomaBay,2021,f,05,84807.0
HomaBay,2021,f,10,89596.0
HomaBay,2021,f,15,71926.0
HomaBay,2021,f,20,52228.0
HomaBay,2021,f,25,42148.0
HomaBay,2021,f,30,40290.0
HomaBay,2021,f,35,27137.0
HomaBay,2021,f,40,23604.0
HomaBay,2021,f,45,19249.0
HomaBay,2021,f,50,15813.0
HomaBay,2021,f,55,14974.0
HomaBay,2021,f,60,12077.0
HomaBay,2021,f,65,8504.0
HomaBay,2021,f,70,5798.0
HomaBay,2021,f,75,3784.0
HomaBay,2021,f,80,2359.0
HomaBay,2021,f,85,1219.0
HomaBay,2021,f,90,751.0
HomaBay,2021,m,00,16793.0
HomaBay,2021,m,01,65792.0
HomaBay,2021,m,05,84288.0
HomaBay,2021,m,10,88783.0
HomaBay,2021,m,15,70024.0
HomaBay,2021,m,20,45887.0
HomaBay,2021,m,25,34268.0
HomaBay,2021,m,30,32703.0
